"module_num","module_name","phenotype_num","phenotype_name","former_dsm5_name","key_allostatic_mechanism","primary_proxy","somatic_debt_threshold"
"09","Somatic","4","Functional Neurological Symptom Phenotype","Conversion Disorder (Functional Neurological Symptom Disorder)","Motor-sensory circuit dissociation with impaired volitional pathway recruitment, preserved automatic/intact function, and stress-induced functional network decoupling","Hoover's sign","Multiple positive incompatibility signs; chronic symptoms >6 months; comorbid neurological disease; significant disability"
"09","Somatic","5","Psychological Factors Affecting Medical Condition Phenotype","Psychological Factors Affecting Other Medical Conditions","Psychophysiological modulation of disease course via stress-induced neuroendocrine, autonomic, and immune pathway alterations","Resting HR / Blood pressure reactivity","Extreme stress reactivity; non-adherence; repeated ER visits or hospitalization; life-threatening risk"
"09","Somatic","6","Factitious Phenotype Imposed on Self","Factitious Disorder Imposed on Self","Sick-role reward circuitry hijacking with ventral striatal activation from deceptive illness enactments; conditioned pattern of symptom falsification without external incentive","Medical record inconsistency audit","Confirmed induced pathology; life-threatening falsification; multiple invasive procedures"
"09","Somatic","7","Factitious Phenotype Imposed on Another","Factitious Disorder Imposed on Another (Munchausen by Proxy)","Caregiver sick-role-by-proxy reward circuitry with vicarious ventral striatal activation through medical attention directed at a dependent","Video surveillance discrepancy","Objective proof of poisoning, suffocation, infection induction; confirmed Munchausen-by-proxy pattern"
"09","Somatic","8","Other Specified Somatic Symptom Phenotype","Other Specified Somatic Symptom and Related Disorder","Subthreshold allostatic dysregulation in somatic signaling networks not meeting full phenotypic criteria but conferring elevated risk for decompensation under stress","Subtype-specific assessment","Subthreshold patterns approaching full phenotype criteria; elevated allostatic load markers"
"09","Somatic","9","Unspecified Somatic Symptom Phenotype","Unspecified Somatic Symptom and Related Disorder","Uncharacterized somatic allostatic state with insufficient information for categorical classification","Awaits sufficient data","Uncharacterized presentation pending further evaluation"
"09","Somatic","10","Pseudocyesis Subtype","False Pregnancy (Pseudocyesis)","Neuroendocrine pregnancy simulation with elevated prolactin and beta-hCG-like substances; altered HPG axis producing somatic pregnancy signs without conception","Serum beta-hCG / prolactin","Persistent pseudocyesis >6 months; significant functional impairment; secondary HPA dysregulation"
"10","Feeding & Eating","1","Pica Phenotype","Pica","Non-nutritive ingestive drive with dysregulated oral-sensory reward circuitry compelling consumption of nonfood substances; mineral-sensing and gut-brain signaling pathways may signal deficiency","Abdominal flat plate radiograph","Bowel obstruction; lead >5 mcg/dL; severe micronutrient deficiency; persistent ingestion with obstruction or toxicity"
"10","Feeding & Eating","2","Rumination Phenotype","Rumination Disorder","Regurgitation-reflex dysregulation with habitual subdiaphragmatic vagal activation producing effortless retrograde food movement after ingestion independent of nausea or disgust","Postprandial observation","Weight <85% expected; electrolyte disturbance; dental erosion; daily regurgitation with malnutrition"
"10","Feeding & Eating","3","Avoidant/Restrictive Food Intake Phenotype","Avoidant/Restrictive Food Intake Disorder (ARFID)","Oral-sensory or conditioned-aversive drive suppression of ingestive behavior producing energy deficit and nutritional insufficiency without weight/shape-related motivation","BMI or BMI-for-age percentile","BMI <3rd percentile; >=2 deficiencies; enteral nutrition >50%; growth arrest; severe restriction"
"10","Feeding & Eating","4","Anorexia Nervosa Phenotype","Anorexia Nervosa","Caloric-restriction reward phenotype with ventral striatal dopamine release from dietary restriction and weight suppression; starvation-endorphin cycle reinforcing further restriction","BMI measurement / Vital signs","BMI <16; significant bradycardia; electrolyte disturbance; prolonged QTc >460 ms; severe medical instability"
"10","Feeding & Eating","5","Bulimia Nervosa Phenotype","Bulimia Nervosa","Binge-purge dysregulation circuit with intermittent loss-of-control feeding followed by compensatory purging; dopaminergic reward from binge and vagal/opioid reward from purging","Serum potassium / Serum amylase","K+ <3.0; metabolic alkalosis; parotid enlargement; severe electrolyte disturbance; >=14 compensatory behaviors/week"
"10","Feeding & Eating","6","Binge-Eating Phenotype","Binge-Eating Disorder","Intermittent feeding disinhibition with dopaminergic hyperreactivity to palatable food cues and absent satiety signaling, without compensatory purging","BMI / Fasting glucose and HbA1c","BMI >35; type 2 diabetes; fatty liver; >=14 binge episodes/week; obesity-related complications"
"10","Feeding & Eating","7","Other Specified Feeding or Eating Phenotype","Other Specified Feeding or Eating Disorder","Subthreshold or variant presentations of feeding/eating circuit dysregulation not meeting full criteria for a specific phenotype but conferring significant biological risk","Subtype-specific assessment","Progression toward full phenotype criteria; significant medical risk despite subthreshold symptom count"
"10","Feeding & Eating","8","Unspecified Feeding or Eating Phenotype","Unspecified Feeding or Eating Disorder","Uncharacterized feeding/eating circuit dysregulation with insufficient information for subtype specification","Awaits sufficient data","Unspecified presentation requiring further evaluation for classification"
"10","Feeding & Eating","9","Purging Disorder Phenotype","Purging Disorder","Conditioned purge reflex without disinhibited feeding; recurrent purging behaviors (vomiting, laxatives) for weight/shape regulation in the absence of binge eating","Serum potassium / Serum amylase","K+ <3.5; metabolic alkalosis; parotid enlargement; dental erosion; recurrent purging >=1x/week for 3 months"
"11","Elimination","1","Enuresis Phenotype","Enuresis","Bladder-sphincter coordination dysmaturity with delayed or disrupted development of circadian vasopressin rhythm, reduced functional bladder capacity, and/or detrusor hyperreactivity","Wet-night diary",">4 wet nights/week; daily daytime wetting; post-void residual >20 mL; bladder capacity <70%; osmolality <600; detrusor hyperreactivity on urodynamics"
"11","Elimination","2","Encopresis Phenotype","Encopresis","Colonic-anorectal evacuation dysregulation with stool retention, overflow incontinence, or intentional inappropriate defecation reflecting disrupted enteric-brain axis signaling","Abdominal radiograph (KUB)","Severe fecal loading (Barr >15); dilated rectum; absent rectal sensation; dyssynergic defecation; >4 soiling events/month; overflow incontinence daily"
"11","Elimination","3","Other Specified Elimination Phenotype","Other Specified Elimination Disorder","Subthreshold elimination dysregulation that does not fully meet enuresis or encopresis criteria but produces clinically significant distress or impairment","Subtype-matched proxy from full phenotype","Distress/impairment present; approaching full phenotype criteria; requires monitoring"
"11","Elimination","4","Unspecified Elimination Phenotype","Unspecified Elimination Disorder","Uncharacterized elimination dysregulation with insufficient information for subtype specification","Wet-night diary / soiling frequency diary","Insufficient data for classification; organic pathology exclusion pending"
"12","Sleep-Wake","1","Sleep-Onset Maintenance Inertia Phenotype","Insomnia Disorder","Persistent hyperarousal of the HPA axis with failure of the ventrolateral preoptic nucleus (VLPO) to inhibit ascending arousal systems; conditioned cortical arousal overrides homeostatic sleep drive","Resting heart rate at bedtime","HR >80 bpm bedtime; elevated nocturnal norepinephrine; lack of HRV circadian modulation; sleep latency >30 min; >3 awakenings; daytime impairment"
"12","Sleep-Wake","2","Excessive Sleep Drive Phenotype","Hypersomnolence Disorder","Heightened homeostatic sleep pressure with reduced threshold for sleep initiation despite adequate nocturnal sleep duration; CNS hyporesponsiveness to wake-promoting signals","Sleep latency on MSLT","MSLT <8 min; spontaneous pupillary miosis; objective sleep efficiency <85% despite prolonged time in bed; sleep need >10 h; sleep inertia >30 min daily; involuntary naps"
"12","Sleep-Wake","3","Orexinergic Collapse Phenotype","Narcolepsy","Autoimmune-mediated destruction of hypothalamic hypocretin (orexin)-producing neurons resulting in failure to stabilize wake-sleep boundaries and inappropriate REM intrusion","Cataplexy trigger test","CSF hypocretin <=110 pg/mL; >=2 SOREMPs; HLA-DQB1*06:02 positive; daily cataplexy; multiple SOREMPs; fragmented sleep; MSLT <5 min"
"12","Sleep-Wake","4","Pharyngeal Collapse Apnea Phenotype","Obstructive Sleep Apnea Hypopnea","Structural or functional narrowing of the pharyngeal airway resulting in repeated collapse during sleep when negative inspiratory pressure exceeds dilator muscle compensation","Neck circumference / STOP-BANG score","SpO2 <90% for >10% of sleep; nocturnal BP non-dipper pattern; elevated morning catecholamines; AHI >=15 or >=5 with symptoms; ODI >=15"
"12","Sleep-Wake","5","Ventilatory Control Instability Phenotype","Central Sleep Apnea","Dysregulation of brainstem ventilatory control centers resulting in high-loop-gain instability; chemoreflex response to CO2 fluctuation is excessive causing ventilatory overshoot and hypocapnia","Awake PaCO2","CAI >=15/hr; Cheyne-Stokes with heart failure; or opioid-related with ataxic breathing; LVEF <45%; PaCO2 <35 or >45; OSA-central overlap"
"12","Sleep-Wake","6","Hypoventilatory CO2 Retention Phenotype","Sleep-Related Hypoventilation","Failure of the respiratory system to maintain adequate alveolar ventilation during sleep resulting in elevated PaCO2 and sustained hypoxemia; blunted central chemosensitivity or pump failure","Awake PaCO2","Awake PaCO2 >=50; sustained nocturnal SpO2 <85%; cor pulmonale signs; PHOX2B mutation; FVC <50% predicted; right heart strain on echo"
"12","Sleep-Wake","7","Circadian Phase Misalignment Phenotypes","Circadian Rhythm Sleep-Wake Disorders","Persistent mismatch between endogenous circadian pacemaker timing (SCN) and the environmental/social sleep-wake schedule due to behavioral, genetic, or environmental factors","Dim light melatonin onset (DLMO)","DLMO >2 hr misaligned; actigraphy shows consistent free-run or fragmentation; CBT nadir during desired waking hours; chronic insomnia/sleepiness; occupational/social failure"
"12","Sleep-Wake","8","NREM Dissociative Arousal Phenotype","Non-Rapid Eye Movement Sleep Arousal Disorders (Sleepwalking/Sleep Terrors)","Incomplete dissociation between NREM sleep and wakefulness; brain regions for complex motor behavior activate while prefrontal cortices remain in sleep","Episode timing relative to sleep onset","Frequent episodes (>1/week); injury risk; forensic involvement (driving, sexual behavior); documented from N3 on PSG; comorbid sleep apnea or RLS as triggers"
"12","Sleep-Wake","9","Threat-Rehearsal REM Phenotype","Nightmare Disorder","Dysregulation of fear-extinction circuitry during REM sleep; amygdala generates threat simulations without adequate prefrontal-limbic modulation producing dysphoric narrative content","Nightmare frequency log",">=1 nightmare/week; severe awakening distress; sleep avoidance; daytime impairment; reduced slow-wave sleep; REM fragmentation; elevated resting sympathetic tone"
"12","Sleep-Wake","10","REM Atonia Failure Phenotype","Rapid Eye Movement Sleep Behavior Disorder","Progressive degeneration/dysfunction of brainstem circuits (sublaterodorsal nucleus) that normally inhibit spinal motor neurons during REM sleep; prodromal synucleinopathy","REM without atonia on PSG","Clinical RBD with injury; REM atonia loss >30% of REM; hyposmia; motor Parkinson signs (bradykinesia, rigidity, tremor); MCI; abnormal DaTscan"
"12","Sleep-Wake","11","Sensorimotor Hyperarousal Phenotype","Restless Legs Syndrome","Dysfunctional central dopaminergic signaling in the diencephalic A11 nucleus and impaired iron transport across the blood-brain barrier resulting in sensorimotor cortex hyperexcitability at rest","Serum ferritin","RLS >=3x/week; significant sleep-onset delay; ferritin <50 ng/mL; PLMS >15/hr; genetic risk variants; augmented on dopamine agonists"
"12","Sleep-Wake","12","Chemically-Induced Sleep Disruption Phenotype","Substance/Medication-Induced Sleep Disorder","Pharmacological interference with neurotransmitter systems governing sleep-wake regulation; substances alter the balance between sleep-promoting and wake-promoting systems","Substance use timeline (TLFB)","Chronic substance-induced sleep disruption persists >4 weeks after cessation; PSG abnormalities: reduced SWS, REM suppression, increased central apneas, PLMS >15/hr"
"12","Sleep-Wake","13","Subthreshold Sleep-Onset Disruption Phenotype","Other Specified Insomnia Disorder","Incomplete arousal/sleep architecture phenotype failing to meet full insomnia criteria but carrying sufficient allostatic load to cause functional impairment","Sleep diary (7 days)","Nonrestorative sleep >3 months or other persistent partial phenotype; objective sleep disruption disproportionate to subjective complaint"
"12","Sleep-Wake","14","Unspecified Sleep-Onset Disruption Phenotype","Unspecified Insomnia Disorder","Sleep disruption characteristic of insomnia without sufficient information determining its nature, duration, frequency, or relationship to other sleep-wake phenotypes","N/A (insufficient data)","Cannot be classified without further data; insomnia-rated distress present"
"12","Sleep-Wake","15","Subthreshold Excessive Sleep Drive Phenotype","Other Specified Hypersomnolence Disorder","Excessive sleep propensity that causes functional impairment but does not meet full hypersomnolence criteria; incomplete expression of the sleep drive dysregulation phenotype","Sleep diary + actigraphy (14 days)","Episodic (Kleine-Levin variant) with severe functional impairment; episodic hypometabolism on SPECT; prolonged episodes >1 week"
"12","Sleep-Wake","16","Unspecified Excessive Sleep Drive Phenotype","Unspecified Hypersomnolence Disorder","Excessive sleep propensity with insufficient clinical information to fully characterize its nature, duration, frequency, or relationship to other sleep-wake phenotypes","N/A (insufficient information)","Insufficient data for classification; hypersomnia-related distress present"
"12","Sleep-Wake","17","Subthreshold Circadian or Parasomnia Phenotype","Other Specified Sleep-Wake Disorder","Sleep-wake dysfunction causing clinically significant distress or impairment that does not meet full criteria for any specific phenotype","PSG with video","Significant distress/impairment from unclassified sleep-wake disruption; requires individualized assessment"
"12","Sleep-Wake","18","Unspecified Sleep-Wake Dysregulation","Unspecified Sleep-Wake Disorder","Sleep-wake dysregulation of unspecified nature where insufficient clinical data exist for precise mapping","Awaits sufficient data","Pending further evaluation for classification"
"13","Sexual","1","Delayed Ejaculation Phenotype","Delayed Ejaculation","Decreased fast-conducting peripheral sensory nerve density in the pudendal and hypogastric pathways coupled with age-related sex steroid decline; serotonergic hypertonicity raises ejaculatory threshold","Bulbocavernosus reflex latency","IELT consistently absent or >20 min; absent nocturnal emissions; prolactin >20 ng/mL; delay on >75% of encounters; significant distress"
"13","Sexual","2","Erectile Phenotype","Erectile Disorder","Endothelial nitric oxide synthase (eNOS) downregulation in corpus cavernosum sinusoidal endothelium reducing cyclic GMP-mediated smooth muscle relaxation; autonomic imbalance","Nocturnal penile tumescence (NPT)","NPT rigidity <50%; PSV <30 cm/s; absent nocturnal erections; arterial calcification present; failure on >75% of occasions; 6+ months duration"
"13","Sexual","3","Female Orgasmic Phenotype","Female Orgasmic Disorder","Clitoral dorsal nerve afferent conduction insufficiency combined with pelvic floor neuromuscular discoordination; reduced activation of mesolimbic dopamine reward circuit","Clitoral vibratory threshold","Threshold >3.5 microm; endurance <5 s; absent nocturnal orgasmic sensations; orgasmic on <25% or never; 6+ months"
"13","Sexual","4","Female Sexual Interest/Arousal Phenotype","Female Sexual Interest/Arousal Disorder","Hypothalamic-pituitary-ovarian (HPO) axis underactivation reducing estradiol and free testosterone; lowered central dopaminergic tone in medial preoptic area; vaginal vasocongestion deficit","Serum estradiol (early follicular)","Estradiol <30 pg/mL; free T <0.3 pg/mL; pH >5.0; interest <25% of opportunities; 6+ months"
"13","Sexual","5","Genito-Pelvic Pain/Penetration Phenotype","Genito-Pelvic Pain/Penetration Disorder","Pelvic floor hypertonicity with elevated EMG activity in pubococcygeus and levator ani muscles; vulvovaginal atrophy; peripheral nociceptor sensitization; central sensitization","Pelvic floor EMG resting baseline","Resting EMG >5 microV; VMI <20% superficial; 3+ positive swab sites; pain >75% of attempts; complete avoidance; 6+ months"
"13","Sexual","6","Male Hypoactive Sexual Desire Phenotype","Male Hypoactive Sexual Desire Disorder","HPG axis underactivation reducing bioavailable testosterone below critical threshold for libido; hyperprolactinemia suppresses GnRH pulsatility and central dopaminergic tone at MPOA","Total testosterone (AM, fasted)","T <300 ng/dL; prolactin >20 ng/mL; LH suppressed; absent spontaneous thoughts; no initiation for 6+ months"
"13","Sexual","7","Premature Ejaculation Phenotype","Premature (Early) Ejaculation","Hypersensitivity of the ejaculatory reflex arc due to reduced 5-HT2C/5-HT1B serotonin receptor density in the spinal ejaculation generator; hyperdopaminergic tone lowers ejaculatory threshold","Intravaginal ejaculatory latency time (IELT)","IELT <60 s on >75% of encounters; 6+ months; dorsal nerve velocity >35 m/s; PEDT >11; absent control"
"13","Sexual","8","Substance/Medication-Induced Sexual Dysfunction Phenotype","Substance/Medication-Induced Sexual Dysfunction","Pharmacological disruption of one or more nodes in the sexual response circuit: dopaminergic, serotonergic, endocrine, or autonomic effects depending on agent class","Temporal drug-event correlation","Moderate-severe dysfunction on >50% of occasions; Naranjo score >4; prolactin >25 ng/mL; positive discontinuation challenge"
"13","Sexual","9","Other Specified Sexual Dysfunction Phenotype","Other Specified Sexual Dysfunction","Subthreshold disruption of one or more sexual circuit nodes not meeting full threshold for a specific phenotype but producing sufficient allostatic load to generate distress","Individual symptom mapping","Distressing symptoms present but below full threshold; domain-specific biomarker above normal but below phenotype cut-off"
"13","Sexual","10","Unspecified Sexual Dysfunction Phenotype","Unspecified Sexual Dysfunction","Sexual circuit disruption of unspecified neurobiological origin where insufficient data exist to map the specific circuit node","Comprehensive circuit workup pending","Distressing symptoms without identified mechanism; biomarker workup incomplete or inconclusive"
"14","Gender Incongruence","1","Gender Incongruence Phenotype — Childhood","Gender Dysphoria in Children","Prenatal androgen milieu atypical for assigned gender creates sex-dimorphic brain organization that diverges from somatic sex development; central-peripheral sex configuration mismatch","2D:4D digit ratio","Full criteria including anatomic dysphoria for 6+ months; distress in social/school function; digit ratio sex-atypical; anogenital distance sex-atypical"
"14","Gender Incongruence","2","Gender Incongruence Phenotype — Adolescent and Adult","Gender Dysphoria in Adolescents and Adults","Persistent mismatch between the central gender identity map and somatic sex characteristics producing chronic allostatic load mediated by HPA axis and insular-cingulate alarm circuitry","Salivary cortisol diurnal slope","Marked incongruence with natal sex characteristics; significant distress; 6+ months duration; flattened cortisol slope; HRV <25 ms; BDNF <20 ng/mL"
"14","Gender Incongruence","3","Other Specified Gender Incongruence Phenotype","Other Specified Gender Dysphoria","Central gender map mismatch with assigned sex producing distress but not meeting full duration or symptom threshold criteria; BNSTc/INAH3 discordance of subthreshold intensity","Duration/symptom count assessment","Distressing mismatch below full threshold; partial BNSTc discordance inferred; premorbid HPA dysregulation"
"14","Gender Incongruence","4","Unspecified Gender Incongruence Phenotype","Unspecified Gender Dysphoria","Gender incongruence of unspecified origin where insufficient data exist to confirm the central gender map configuration","Comprehensive endocrine and neuroanatomical workup pending","Distressing incongruence without identified mechanism; biomarker workup incomplete or inconclusive"
"15","Disruptive/Conduct","1","Oppositional Defiant Phenotype","Oppositional Defiant Disorder","Dysregulation of prefrontal-limbic circuitry with chronically elevated amygdala reactivity and insufficient ventromedial PFC top-down inhibition; hypocortisolemic baseline with blunted autonomic arousal","Resting heart rate",">4 symptoms across >2 settings; HR <60 bpm; cortisol <10 nmol/L at waking; low skin conductance"
"15","Disruptive/Conduct","2","Intermittent Explosive Phenotype","Intermittent Explosive Disorder","Serotonergic hypofunction in prefrontal-limbic circuitry with reduced ligand binding in ACC and OFC; amygdala hyperresponsiveness to anger-eliciting stimuli; failure of prefrontal brake mechanisms","Pupillary response to anger faces","Physical aggression with property damage; low 5-HIAA in CSF; elevated IL-6; structural OFC deficits"
"15","Disruptive/Conduct","3","Conduct Phenotype","Conduct Disorder","Multisystem dysregulation: reduced autonomic fear conditioning, frontotemporal-limbic structural deficits, and heightened threat-misperception in ambiguous social contexts","Resting heart rate (seated)",">5 symptoms with cruelty or weapon use; HR <60 bpm; absent fear-potentiated startle; flat cortisol slope"
"15","Disruptive/Conduct","4","Antisocial Phenotype","Antisocial Personality Disorder","Convergent autonomic, neurostructural, and neurochemical aberrations producing a phenotype optimized for exploitative dominance in zero-sum social environments","Resting heart rate (seated, 5 min)","Full criteria with callous remorselessness; HR <65 bpm; absent startle; T:C ratio >0.05"
"15","Disruptive/Conduct","5","Pyromania Phenotype","Pyromania","Affect-regulation circuitry dysfunction in which fire-setting serves as an autonomic stimulant to raise arousal from a hypoactive baseline; fire-setting triggers sympathetic activation reinforced by dopamine","Heart rate during fire imagery","Multiple fire-setting episodes with pleasure; baseline HR <65 with >20 bpm increase during fire; dopamine reward signaling"
"15","Disruptive/Conduct","6","Kleptomania Phenotype","Kleptomania","Dysregulation of reward, impulse control, and affect-regulation circuits; stealing activates dopamine-mediated reward cycle from hypodopaminergic baseline through dopamine surge to opioid-mediated relief","Skin conductance during theft imagery","Recurrent theft with tension-relief cycle; high commission errors; autonomic hyperreactivity pre-theft"
"15","Disruptive/Conduct","7","Other Specified Disruptive Phenotype","Other Specified Disruptive, Impulse-Control, and Conduct Disorder","Subthreshold dysregulation across one or more domains causing allostatic cost without meeting full criteria for any specific phenotype","Composite autonomic battery / Impulse control screen","Multiple markers approaching categorical thresholds; subthreshold across multiple domains"
"15","Disruptive/Conduct","8","Unspecified Disruptive Phenotype","Unspecified Disruptive, Impulse-Control, and Conduct Disorder","Insufficient information to map allostatic architecture; reserved for emergency or limited-data contexts","N/A (assessment deferred)","Insufficient data; unspecified phenotype carries no forensic weight until biomarked"
"16","Substance","1","Alcohol Use Phenotype","Alcohol Use Disorder","Chronic alcohol-induced dysregulation of GABA-glutamate homeostasis, mesolimbic dopamine pathway sensitization, and HPA axis disruption; opponent-process shift from positive to negative reinforcement","Breath alcohol concentration / GGT","Elevated GGT, CDT; macrocytosis; hepatic steatosis/fibrosis; pancreatitis; peripheral neuropathy; severe withdrawal history; continued use despite physical/psychological harm"
"16","Substance","2","Alcohol Intoxication Phenotype","Alcohol Intoxication","Acute GABA-A potentiation and NMDA antagonism producing progressive CNS depression from disinhibition through coma; individual tolerance calibrates the BAC-symptom curve","Breath alcohol concentration / Horizontal gaze nystagmus","BAC >0.20%; vomiting; respiratory depression; stupor/coma; severe intoxication"
"16","Substance","3","Alcohol Withdrawal Phenotype","Alcohol Withdrawal","Glutamate-mediated rebound excitation following reduction of chronic GABA-A agonism; NMDA receptor upregulation produces hyperexcitable state upon cessation","CIWA-Ar / Heart rate (supine and standing)","CIWA-Ar >15; HR >100 bpm; sustained visible tremor; history of withdrawal seizures or delirium tremens"
"16","Substance","4","Caffeine Use Phenotype","Caffeine Use Disorder","Adenosine receptor antagonism produces psychostimulation; chronic use upregulates adenosine receptors such that withdrawal produces hypersomnia, headache, and dysphoria","Caffeine intake history",">500 mg/day; withdrawal on cessation; functional impairment; daily use required; tolerance"
"16","Substance","5","Caffeine Intoxication Phenotype","Caffeine Intoxication","Acute adenosine A1/A2A antagonism producing sympathetic hyperactivation: tachycardia, hypertension, psychomotor agitation, and sleep disruption at high doses","Pulse rate / Tremor assessment","HR >110; vomiting; severe agitation; 5+ symptoms"
"16","Substance","6","Caffeine Withdrawal Phenotype","Caffeine Withdrawal","Rebound adenosine receptor hypersensitivity following chronic blockade; cerebral vasodilation produces headache; CNS depression produces fatigue and cognitive impairment","Headache onset after 12-24 hr abstinence","3+ symptoms with functional impairment; severe headache; vomiting; bed rest required"
"16","Substance","7","Cannabis Use Phenotype","Cannabis Use Disorder","CB1 receptor downregulation in fronto-striatal-limbic circuits producing tolerance, withdrawal dysphoria, and reward reorientation; chronic THC produces receptor desensitization","Conjunctival injection / Pulse rate","Markedly reduced CB1 density on PET; chronic bronchitis; reduced lung function; tolerance and withdrawal present; severe functional impairment"
"16","Substance","8","Cannabis Intoxication Phenotype","Cannabis Intoxication","Acute CB1 receptor agonism producing altered sensory processing, impaired memory, psychomotor slowing, increased appetite, and tachycardia","Conjunctival injection / Pulse rate","HR >120; severe anxiety; perceptual disturbances; psychosis-like symptoms"
"16","Substance","9","Cannabis Withdrawal Phenotype","Cannabis Withdrawal","Rebound hyperexcitability following cessation of chronic CB1 agonism; endocannabinoid tone reduction produces irritability, anxiety, sleep disruption, appetite loss, and physical discomfort","Irritability after 24-72 hr abstinence","Severe functional impairment; significant sleep disruption; marked appetite/weight loss; depressed mood"
"16","Substance","10","Phencyclidine Use Phenotype","Phencyclidine Use Disorder","NMDA receptor antagonism producing dissociative effects; tolerance develops to psychological and autonomic effects; no established withdrawal syndrome in humans","Urine PCP / Nystagmus","Chronic use; violence episodes; 6+ symptoms; persistent NMDA receptor blockade"
"16","Substance","11","Phencyclidine Intoxication Phenotype","Phencyclidine Intoxication","NMDA receptor blockade producing dissociative anesthesia, sympathetic activation, nystagmus, and behavioral disorganization including belligerence and psychosis-like states","Nystagmus (rotary/vertical) / Blood pressure","Vertical nystagmus; severe hypertension; combative behavior; violence; potential for self-injury"
"16","Substance","12","Other Hallucinogen Use Phenotype","Other Hallucinogen Use Disorder","Serotonin 5-HT2A receptor agonism producing perceptual alterations; rapid tolerance development with cross-tolerance among LSD, psilocybin, mescaline","Pupil size / Clinical interview","Frequent use; hallucinogen persisting perception disorder risk; 6+ symptoms; severe functional impairment"
"16","Substance","13","Other Hallucinogen Intoxication Phenotype","Other Hallucinogen Intoxication","5-HT2A receptor agonism producing sensory amplification, synesthesias, depersonalization, altered mood; autonomic effects include pupillary dilation, tachycardia, and sweating","Pupil size / Pulse rate","Severe perceptual disturbances; panic; dilated pupils >7 mm; severe anxiety; risk of self-injury"
"16","Substance","14","Hallucinogen Persisting Perception Phenotype","Hallucinogen Persisting Perception Disorder (HPPD)","Persistent alteration in sensory processing circuits involving 5-HT2A receptor-mediated long-term potentiation in visual cortex and thalamo-cortical gating dysfunction","Perceptual symptom checklist","Continuous/frequent symptoms; symptom interference with daily function; severe distress"
"16","Substance","15","Inhalant Use Phenotype","Inhalant Use Disorder","Volatile hydrocarbons produce CNS depression via NMDA antagonism, GABA-A potentiation, and dopamine release; white matter toxicity and cardiac arrhythmia risk","Odor of solvents on breath/clothing","White matter pathology; neurological deficits; 6+ symptoms; severe functional impairment"
"16","Substance","16","Inhalant Intoxication Phenotype","Inhalant Intoxication","Acute hydrocarbon CNS depression producing brief syndrome of euphoria, dizziness, incoordination, and slurred speech progressing to stupor/coma at high doses","Solvent odor / Nystagmus","Stupor/coma; respiratory arrest risk; severe CNS depression"
"16","Substance","17","Opioid Use Phenotype","Opioid Use Disorder","Mu-opioid receptor (MOR) downregulation and desensitization in mesolimbic reward circuitry; withdrawal avoidance becomes primary driver; conditioned cue-reactivity persists long after detoxification","Pupillary diameter / Respiratory rate","Reduced MOR availability in ventral striatum; tolerance and withdrawal present; severe functional impairment; continued use despite physical/psychological problems"
"16","Substance","18","Opioid Intoxication Phenotype","Opioid Intoxication","Acute MOR agonism producing euphoria, sedation, pupillary constriction, respiratory depression, and cognitive impairment; overdose produces coma, respiratory arrest, and miosis","Pupillary diameter / Respiratory rate / Level of consciousness","GCS reduced; respiratory depression <12 breaths/min; miosis <3 mm; responds only to naloxone"
"16","Substance","19","Opioid Withdrawal Phenotype","Opioid Withdrawal","Noradrenergic rebound in locus coeruleus, upregulated cAMP, and dysregulated brain-gut axis following cessation of MOR agonism; symptoms opposite of opioid effects","COWS score / Pupillary diameter","Severe withdrawal; COWS >12; pupils >5 mm; vomiting; diarrhea; severe dysphoria; autonomic instability"
"16","Substance","20","Sedative/Hypnotic/Anxiolytic Use Phenotype","Sedative/Hypnotic/Anxiolytic Use Disorder","GABA-A receptor subunit plasticity producing tolerance, physical dependence, and cross-tolerance with alcohol; withdrawal kindling increases seizure risk with repeated detoxifications","Urine benzodiazepine screen / Nystagmus","Physical dependence; multiple prescribers; withdrawal history; 6+ symptoms; severe functional impairment"
"16","Substance","21","Sedative/Hypnotic/Anxiolytic Intoxication Phenotype","Sedative/Hypnotic/Anxiolytic Intoxication","GABA-A potentiation producing CNS depression: disinhibition, sedation, slurred speech, ataxia, nystagmus, cognitive impairment, and anterograde amnesia","Horizontal gaze nystagmus / Romberg sign / Urine tox","Stupor/coma; respiratory depression; aspiration risk; severe intoxication"
"16","Substance","22","Sedative/Hypnotic/Anxiolytic Withdrawal Phenotype","Sedative/Hypnotic/Anxiolytic Withdrawal","GABA-A hypofunction coupled with glutamate rebound after cessation of chronic GABA-A potentiation; autonomic hyperactivity, tremor, anxiety, insomnia, and seizures in 20-30%","Tremor (outstretched hands) / Pulse rate / Blood pressure","Grand mal seizures; withdrawal delirium; BP >140/90; HR >100 bpm; severe autonomic hyperactivity"
"16","Substance","23","Stimulant Use Phenotype","Stimulant Use Disorder (Amphetamines/Cocaine)","DAT blockade or reverse transport producing excessive synaptic DA followed by DA depletion upon withdrawal; chronic use downregulates D2 receptors and sensitizes corticostriatal glutamate circuits","Urine drug screen / Pupil size","Reduced DAT availability; severe cardiovascular strain; nasal septal perforation; dental erosion; psychosis; severe functional impairment"
